,주야간,구,노면상태,기상상태,주야간_risk,구_risk,노면상태_risk,기상상태_risk,total_risk,corr_risk,주야간_eclo,구_eclo,노면상태_eclo,기상상태_eclo,eclo_risk_sum,eclo_risk_mul
123,야간,장안구,적설,맑음,1.0,2.0,1.0,5.0,9.0,13.784799440534368,4.488599348534202,4.474332648870637,4.25,4.460807600950119,26.673739598354956,39.991302651026075
124,주간,영통구,적설,맑음,2.0,1.0,1.0,5.0,9.0,13.52126886226718,4.476795931341386,4.492957746478873,4.25,4.460807600950119,26.680561278770377,40.000587613912245
125,주간,권선구,기타,기타,2.0,4.0,2.0,1.0,9.0,13.142394678668987,4.476795931341386,4.588550983899821,4.666666666666667,4.833333333333333,27.565346915241207,41.47446246494873
126,주간,장안구,젖음/습기,기타,2.0,2.0,4.0,1.0,9.0,13.39497746773445,4.476795931341386,4.474332648870637,4.841059602649007,4.833333333333333,27.62552151619436,42.09982890435341
127,주간,장안구,적설,비,2.0,2.0,1.0,4.0,9.0,13.39497746773445,4.476795931341386,4.474332648870637,4.25,4.798319327731092,26.999447907943114,41.345534471348415
128,주간,팔달구,서리/결빙,기타,2.0,3.0,3.0,1.0,9.0,13.268686073201716,4.476795931341386,4.363636363636363,4.875,4.833333333333333,27.54876562831108,41.5028342869252
129,주간,영통구,기타,비,2.0,1.0,2.0,4.0,9.0,13.52126886226718,4.476795931341386,4.492957746478873,4.666666666666667,4.798319327731092,27.43473967221802,41.97316025341935
130,주간,권선구,적설,눈,2.0,4.0,1.0,2.0,9.0,13.142394678668987,4.476795931341386,4.588550983899821,4.25,3.5714285714285716,25.88677548666978,38.700652941139204
131,야간,권선구,서리/결빙,기타,1.0,4.0,3.0,1.0,9.0,13.532216651468904,4.488599348534202,4.588550983899821,4.875,4.833333333333333,27.785483665767355,42.30113661746682
132,야간,팔달구,서리/결빙,눈,1.0,3.0,3.0,2.0,9.0,13.658508046001636,4.488599348534202,4.363636363636363,4.875,3.5714285714285716,26.298664283599138,39.347365582300434
133,야간,영통구,건조,눈,1.0,1.0,5.0,2.0,9.0,13.911090835067098,4.488599348534202,4.492957746478873,4.444769140853302,3.5714285714285716,25.99775480729495,38.348259942136735
134,야간,권선구,기타,눈,1.0,4.0,2.0,2.0,9.0,13.532216651468906,4.488599348534202,4.588550983899821,4.666666666666667,3.5714285714285716,26.315245570529264,39.31899376032396
135,주간,팔달구,적설,흐림,2.0,3.0,1.0,3.0,9.0,13.268686073201716,4.476795931341386,4.363636363636363,4.25,4.421875,26.51230729497775,39.560125953591864
136,주간,영통구,젖음/습기,눈,2.0,1.0,4.0,2.0,9.0,13.52126886226718,4.476795931341386,4.492957746478873,4.841059602649007,3.5714285714285716,26.382241851897838,39.95364516261482
137,야간,장안구,서리/결빙,흐림,1.0,2.0,3.0,3.0,9.0,13.784799440534368,4.488599348534202,4.474332648870637,4.875,4.421875,27.259806997404837,41.32788964627548
138,야간,영통구,기타,맑음,1.0,1.0,2.0,5.0,9.0,13.911090835067098,4.488599348534202,4.492957746478873,4.666666666666667,4.460807600950119,27.10903136262986,40.618928433097004
139,야간,권선구,적설,흐림,1.0,4.0,1.0,3.0,9.0,13.532216651468904,4.488599348534202,4.588550983899821,4.25,4.421875,26.749025332434023,40.35842828413348
140,야간,영통구,서리/결빙,비,1.0,1.0,3.0,4.0,9.0,13.911090835067098,4.488599348534202,4.492957746478873,4.875,4.798319327731092,27.654876422744167,42.799834405937446
141,야간,장안구,건조,기타,1.0,2.0,5.0,1.0,9.0,13.784799440534368,4.488599348534202,4.474332648870637,4.444769140853302,4.833333333333333,27.241034471591473,40.494443683875325
142,주간,장안구,서리/결빙,눈,2.0,2.0,3.0,2.0,9.0,13.39497746773445,4.476795931341386,4.474332648870637,4.875,3.5714285714285716,26.397557151640594,39.67011430328119
143,주간,영통구,서리/결빙,흐림,2.0,1.0,3.0,3.0,9.0,13.52126886226718,4.476795931341386,4.492957746478873,4.875,4.421875,27.266628677820258,41.33717460916165
144,주간,영통구,건조,기타,2.0,1.0,5.0,1.0,9.0,13.52126886226718,4.476795931341386,4.492957746478873,4.444769140853302,4.833333333333333,27.247856152006893,40.503728646761495
145,야간,영통구,젖음/습기,흐림,1.0,1.0,4.0,3.0,9.0,13.9110908350671,4.488599348534202,4.492957746478873,4.841059602649007,4.421875,27.24449169766208,41.611420505609104
146,주간,장안구,적설,흐림,2.0,2.0,1.0,3.0,8.0,11.791954778578924,4.476795931341386,4.474332648870637,4.25,4.421875,25.62300358021202,35.41788216042404
147,야간,영통구,적설,맑음,1.0,1.0,1.0,5.0,8.0,12.30806814591157,4.488599348534202,4.492957746478873,4.25,4.460807600950119,25.692364695963192,35.53559509976367
148,야간,영통구,기타,비,1.0,1.0,2.0,4.0,8.0,12.308068145911571,4.488599348534202,4.492957746478873,4.666666666666667,4.798319327731092,26.446543089410834,37.508167739270775
149,야간,팔달구,기타,눈,1.0,3.0,2.0,2.0,8.0,12.05548535684611,4.488599348534202,4.363636363636363,4.666666666666667,3.5714285714285716,25.090330950265805,34.05569891563377
150,야간,팔달구,서리/결빙,기타,1.0,3.0,3.0,1.0,8.0,12.05548535684611,4.488599348534202,4.363636363636363,4.875,4.833333333333333,26.560569045503897,37.03784177277662
